name,address,city,state,zipcode,phone,hours,email,website,store_front,age_range,deliver,lat,lng,county
Alternative Medicine Collective,5543 Atlantic Ave,Long Beach,CA,90805,5626124637,"10am - 10pm Su-TH! 10am-11pm Fr, Sa!",,,,,,33.856982,-118.1850285,Los Angeles
The 562 Collective,3970 Atlantic Ave,Long Beach,CA,90807,5627261654,10 AM to 10 PM,the562collective@live.com,,Yes,Yes,,33.830638,-118.184636,Los Angeles
Long Beach Collective,1734 E Artesia Blvd,Long Beach,CA,90805,5629842520,Mon. to Sat: 10a to 7p & Closed Sunday,,,,,,33.8743679,-118.171163,Los Angeles
Kush Lounge,2622 E South St,Long Beach,CA,90805,3236372672,Mon-Fri 11am-1am Sat/Sun 11am-3am,kushlounge@yahoo.com,,,,,33.8601495,-118.1611341,Los Angeles
One Source Discount Caregivers,5115 Atlantic Ave,Long Beach,CA,90805,5627288529,9am-8pm Daily,,,,,,33.8492028,-118.1851043,Los Angeles
Natures Cure Collective,3925 N Long Beach Blvd,Long Beach,CA,90807,5626121400,11:00 - 7:00 - Everyday,,,,,,33.8293641,-118.1893575,Los Angeles
Canna Collective Long Beach (CCLB),4010 Long Beach Blvd,Long Beach,CA,90807,5624926091,Open 7 Days: 10a to 8p,cclongbeach@gmail.com,,Yes,,,33.831167,-118.188889,Los Angeles
Mr. Green,2461 Long Beach Blvd,Long Beach,CA,90806,5629813756,Mon-Sat 10-8 Sun 11-6,,,Yes,,,33.801915,-118.189785,Los Angeles
Breath of Eden Co-op,5256 N Long Beach Blvd,Long Beach,CA,90805,5624232000,Mon-Fri 10:30am-9:30pm Sat&Sun 11am-7pm,,,Yes,,,33.851499,-118.1954749,Los Angeles
Positive Vibrations Collective,2137 Pacific Ave,Long Beach,CA,90806,5625070985,,positivevibrationscollective@yahoo.com,,,Yes,,33.796102,-118.194068,Los Angeles
Natural Healthcare Patients Group,11 E 53rd St,Long Beach,CA,90805,5626121857,"10a-8pm Mon- Fri, Sat-Sun 11am - 8pm",,,,,,33.8524385,-118.1953824,Los Angeles
Dank Depot  -  $265 Blue Cheese Ounces!,5595 E 7th St,Long Beach,CA,90804,5625976041,10a-8p Everyday,admin@dankdepot.org,http://www.DankDepot.com,Yes,Yes,,33.775557,-118.123468,Los Angeles
Industry Green Collective-   SUNDAY SHOP OPENS AT 11:00,2200 N Lakewood Blvd,Long Beach,CA,90815,5629869400,10am - 8 pm 7 days a week,1ndustrygr33n@gmail.com,http://tinyurl.com/2afcs6b,,Yes,,33.7961168,-118.1426066,Los Angeles
S.H.P.A. Sunshine Holistic Patients Association,678 N Redondo Ave,Long Beach,CA,90814,5624345010,Hours M-Sat 11-8 Sun 11- 6,,http://www.weedmaps.com,,,,33.7749973,-118.1523939,Los Angeles
Cornerstone H&W-Buy (3) 8th's Get (1) FREE! Superman:16.74% THC!,537 West Willow Street  (Across from Chevron),Long Beach,CA,90806,5625957666,M-F 8a-8p; Sat 9a-8p; Sun 9a-5p,mitch@cornerstonemeds.com,http://cornerstonemeds.com,,Yes,,33.8065036,-118.1912538,Los Angeles
Belmont Shore Natural Care  FREE 1/8th to NEW MEMBERS! *with minimum $40 donation*,5375 2nd St. Suite 5 (parking structure entrance on Claremont Ave),Long Beach,CA,90803,5629870210,Daily 10 AM - 8 PM,bshorenaturalcare@yahoo.com,http://belmontshorenaturalcare.com,Yes,Yes,,33.7585789,-118.1307742,Los Angeles
1 Love Beach Club ~4 Gram 1/8s EVERYDAY~$30 1/8s!~Ounce Deals~Edibles~Clones~Daily Specials!,2767 E Broadway,Long Beach,CA,90803,5623435388,Mon-Sat 11-8  Sun 12-5,info@1love420.com,http://www.1love420.com,Yes,,,33.765742,-118.159125,Los Angeles
$35/ $40/ $45 /$50- 8THS on Premium Strains!,1066 E Anaheim St,Long Beach,CA,90813,5623264297,10am - 10pm,2010weed@gmail.com,,Yes,,,33.782306,-118.179007,Los Angeles
Alternative Herbal Health **10% OFF EVERYTHING! NO EXCEPTIONS!**,3702 E Anaheim St,Long Beach,CA,90804,5625971199,10am-8pm 7 Days a week,ahh1380@gmail.com,http://alternativeherbalhealth.com,Yes,,,33.7825769,-118.1491745,Los Angeles
"215 Collective, Inc - The Best Meds in Long Beach",5199 E Pacific Coast Hwy,Long Beach,CA,90804,5622124265,(Mon-Fri 10am-8pm) - (Sat/Sun 11am-5pm),a215collective@yahoo.com,,Yes,,,33.783433,-118.13233,Los Angeles
High Quiggle Healing Center Long Beach,1532 E Broadway,Long Beach,CA,90802,5629513975,M/S 10am - 8pm Sun1pm-8pm,420firestarter@gmail.com,,Yes,,,33.767704,-118.172389,Los Angeles
_One am Natural Solutions,743 E 4th St,Long Beach,CA,90802,5626123836,11- 12:15 am EVERYDAY!,amnaturalsolutions@yahoo.com,,Yes,Yes,,33.771927,-118.182606,Los Angeles
4 The Patients - 50 Cap! Best meds for the lowest prices always!!!,2335 Long Beach Blvd,Long Beach,CA,90806,5624698857,Sunday - Thursday: 10AM - 8PM  Friday - Saturday: 10AM - 10PM,4thepatientslb@gmail.com,,Yes,Yes,,33.7995779,-118.189785,Los Angeles
A Soothing Remedy (SR),1521 W Willow St,Long Beach,CA,90810,5626124388,"Sun. to Thurs. 11a to 8p, Fri. 11a to 4p &Sat 8pm to 11pm",asrc420@gmail.com,,Yes,Yes,,33.804644,-118.212836,Los Angeles
Herbal Solutions Naples,5752 E 2nd St,Long Beach,CA,90803,5624345075,10AM to 8PM 7 Days a week!,,http://www.herbalsolutionsca.com,,Yes,,33.7565758,-118.12181,Los Angeles
CRAZY GREENS AND THINGS,801 E 3rd St,Long Beach,CA,90802,5622004685,10:00am-10:00pm,CRAZYGREENSANDTHINGS@GMAIL.COM,,Yes,Yes,,33.7707059,-118.182158,Los Angeles
Natural Patient Solutions Collective (NPSCLB),957 E 4th St,Long Beach,CA,90802,5624321263,"10am - 12pm 1pm - 10pm Mon. thru Thurs(closed from 12 - 1) 10am - 10pm Fri, Sat, and Sun",npsclb@gmail.com,,,,,33.771742,-118.1798817,Los Angeles
Collective 1515,1515 E Anaheim St,Long Beach,CA,90813,4242090643,11:00 Am - 10:00 Pm,Collective1515@gmail.com,,Yes,Yes,,33.782899,-118.172632,Los Angeles
Dank City-Grower Direct Pricing,2340 E. Pacific Coast Highway Unit F,Long Beach,CA,90804,5624988484,11:00a.m.-8:00p.m.,dankcity420@gmail.com,,Yes,Yes,,33.7806646,-118.1503026,Los Angeles
Long Beach Specialty Health,,Long Beach,CA,,5622181340,M-F 10-8:30 Sat - Sun 11-7,,http://www.lbspecialtyhealth.com,,,Yes,33.7669623,-118.1892348,Los Angeles
AC/GC 316 Collective,316 N Redondo Ave,Long Beach,CA,90814,5622067791,M-S 10-8 S- 10-5,,,Yes,,,33.7686888,-118.1523814,Los Angeles
SOLE Green Express,,Long Beach,CA,90806,5622122080,9am -9pm,iedispensary6@gmail.com,http://iedispensary.com,,Yes,Yes,33.8065036,-118.1912538,Los Angeles
Greenhouse Caregivers (GHC),1428 W Willow St,Long Beach,CA,90810,5622908180,Open  Mon. thru Sat.  From 10-8 Sun. 10-6:30,ghcaregivers@verizon.net,,,,,33.8043053,-118.2115118,Los Angeles
Long Beach Quality Discount Caregivers 2nd St.,5470 E 2nd St,Long Beach,CA,90803,5624390009,10:30am - 8pm,LBQDC2ndst@yahoo.com,,,,,33.757453,-118.127425,Los Angeles
"Long Beach Patient Resource Cooperative, Inc.",404 Ximeno Ave,Long Beach,CA,90814,5628560423,M-Sat 11am-7pm,LBPRC@verizon.net,,,,,33.771963,-118.141359,Los Angeles
Calm & Collective,2515 E Anaheim St,Long Beach,CA,90804,5623983786,Mon-Sat: 10am - 8pm  |  Sunday: 12pm - 6pm,calmandcollective562@gmail.com,,Yes,,,33.782891,-118.161837,Los Angeles
Long Beach Organics (LBO),851 Pine Ave,Long Beach,CA,90813,5624952000,"Mon. to Wed: 10a to 9p, Thurs. to Sat: 10a to 10p, Sun: 11a to 7p",,,,,,33.7773264,-118.1924021,Los Angeles
AAC - Apothecary's Assistants Collective,1355 Redondo Ave,Long Beach,CA,90804,5624986420,8am - 8pm - Everyday,office@aacollective.com,,,,,33.783772,-118.152737,Los Angeles
Final Cut Collective,1175 E Wardlow Rd,Long Beach,CA,90807,5624437742,Monday - Saturday 11am to 8pm; Sunday 12pm to 6pm,,,Yes,,,33.8189645,-118.1768462,Los Angeles
Green Valley Patient Care Center,1561 W Pacific Coast Hwy,Long Beach,CA,90810,5624361400,11am - 8 pm Mon - Sun,greenvalley562@gmail.com,,Yes,,,33.790145,-118.213575,Los Angeles
Green Medi Works (GMW),1088 N Redondo Ave,Long Beach,CA,90804,5624336600,Mon. to Sat: 10am to 8pm & Sun: 10am to 6pm,,,,,,33.7805798,-118.1523952,Los Angeles
Shh,2740 E Broadway,Long Beach,CA,90803,5624384300,Sun to Mon 9am-9pm,shhcollective@gmail.com,,,,,33.765416,-118.159537,Los Angeles
The Giving Tree,1742 E Broadway,Long Beach,CA,90802,5624354420,10am-8pm everyday,,,,,,33.76742,-118.170426,Los Angeles
Starlight Center,333 Pine Ave (formerly American Jeweller),Long Beach,CA,90802,5624372477,M-Sat 12-8; Sun 12 to call,starlight420center@yahoo.com,,,,,33.7573518,-118.2029523,Los Angeles
Kings Club,555 E Ocean Blvd,Long Beach,CA,90802,5624325400,M - F: 10am - 8pm Saturday: 10am - 8pm Sunday: 11am - 7pm,kingsclub@verizon.net,,Yes,,,33.766913,-118.18569,Los Angeles
Green Dot Pharmaceuticals,834 E 4th St,Long Beach,CA,90802,5629835782,Mon-Thur: 9am-12am Fri-Sat: 9am-1am Sun: 11am-7pm,greendot420@verizon.net,,Yes,,,33.77141,-118.181913,Los Angeles
Ballast Collective,501 E Broadway,Long Beach,CA,90802,5625904200,,,,Yes,,,33.7695099,-118.186108,Los Angeles
Da Ma Collective DMC,3319 E 10th St,Long Beach,CA,90804,5623433215,"11A-8P, Mon- Sat, Closed Sun",damacollective@gmail.com,,Yes,,,33.7791443,-118.1530748,Los Angeles
Long Beach Green Room,1735 E 7th St,Long Beach,CA,90813,5625910001,11-7 Mon-Sat 10-6 Sun,greenroom215@gmail.com,,Yes,,,33.7753719,-118.1702891,Los Angeles
Emerald City Collective,2501  Anaheim,Long Beach,CA,90804,5624343065,"M-Sa: 10a-8p, Su: 10a-3p",info@emeraldcitycollective.com,,Yes,Yes,,33.7806646,-118.1503026,Los Angeles
CareMutual Long Beach,110 E Ocean Blvd,Long Beach,CA,90802,5624321600,"Mon thru Fri, 10:00am to 6:00pm * Located in Suite 20",caremutual1@gmail.com,,Yes,Yes,,33.7669285,-118.1922401,Los Angeles
Infinity Medical Alliance,1151 S Robertson Blvd,Los Angeles,CA,90035,3102462399,10a-8p OPEN EVERYDAY,infinitymedical80@gmail.com,,Yes,,,34.05565,-118.383989,Los Angeles
LITTLE AMSTERDAM - Dispensary Collective • Hash Bar • Coffee Shop,2461 S Robertson Blvd,Los Angeles,CA,90034,3108424760,Due to the LA Ordinance we have new hours... OPEN EVERY DAY!!! 12 pm - 8 pm,littleamsterdam@live.com,http://www.somedaminfo.com,Yes,,,34.039492,-118.388364,Los Angeles
Organics Herbal Nutrition Center *$55 CAP on ALL 1/8's,1435 S La Cienega Blvd,Los Angeles,CA,90035,3102890409,M-SAT 11AM-8PM;  SUN 11-6,info@OrganicsHNC.com,http://www.OrganicsHNC.com,Yes,,,34.052191,-118.376468,Los Angeles
Kelly's Collective,8638 W Pico Blvd,Los Angeles,CA,90035,3108545874,12-Oct,kellyscollective@gmail.com,http://www.kellyscollective.org,Yes,,,34.053743,-118.3799,Los Angeles
California Health Remedies,8777 W Pico Blvd,Los Angeles,CA,90035,3107248124,"6 Days a week 10am - 8pm, closed on Saturdays",customersupport@chremedies.com,http://www.chremedies.com,,,,34.054817,-118.38334,Los Angeles
Herbal Solutions (LA),735 N La Brea Ave,Los Angeles,CA,90038,3239334372,7 days: 10:00am - 8:00pm,,http://www.herbalsolutionsca.com,,,,34.0845314,-118.3441596,Los Angeles
SocalCC.com 310-210-1832   Venice  Malibu  Marina Del Rey  Santa Monica,,Venice,CA,90291,3102101832,11am-12am,delivery@socalcc.com,http://www.socalcc.com,,Yes,Yes,33.9962144,-118.4688776,Los Angeles
Venice Marina Del Rey Santa Monica delivery service socalcc.com 310-210-1832,,Santa Monica,CA,90403,3102101832,11am-12am,delivery@socalcc.com,http://www.socalcc.com,,Yes,Yes,34.0279895,-118.495155,Los Angeles
Medical Marijuana Los Angles Delivery,,Beverly Hills,CA,90210,8189159551,24 Hours,villageflora.delivery@gmail.com,http://www.themobileoasis.com/,,Yes,Yes,34.1030032,-118.4104684,Los Angeles
Dank Collective,6130 Wilshire Blvd,Los Angeles,CA,90048,3236921420,11am-9:00pm Everyday!,dankcollective420@gmail.com,,Yes,,,34.062793,-118.363092,Los Angeles
Natures Cure Patient Collective,4577 Valley Blvd,Los Angeles,CA,90032,3232251815,11:30am to 8pm,,,,,,34.062785,-118.184505,Los Angeles
Westwood Organic,1722 Westwood Blvd,Los Angeles,CA,90024,3104411200,9AM - 8PM   Monday - Saturday  11AM - 8PM Sunday,thewestwoodorganic@gmail.com,,Yes,,,34.051464,-118.43803,Los Angeles
Canna Care Relief,1716 S Sepulveda Blvd,Los Angeles,CA,90025,3104734105,Mon-Wed 11am to 8pm Thurs-Sat 11am to 9pm Sun 12pm to 6pm,,,,,,34.047143,-118.443477,Los Angeles
Purelife Alternative Wellness Center,1649 S La Cienega Blvd,Los Angeles,CA,90035,3102469345,Mon-Sat 12pm to 9pm Sun 12pm to 8pm,,,,,,34.047515,-118.376495,Los Angeles
The Farmacy Westwood,1035 Gayley Ave,Los Angeles,CA,90024,3102080820,Mon-Wed 12pm to 8pm Thurs-Sat 12pm to 9pm Sun CLOSED,,,,,,34.0613163,-118.4474495,Los Angeles
Green Oasis,11924 Jefferson Blvd,Los Angeles,CA,90230,3233891899,10am to 10pm,westsidegreenoasis@gmail.com,,Yes,,,33.984681,-118.403305,Los Angeles
Naturally divine wellness,2212 East Cesar E Chavez Avenue,Los Angeles,CA,90033,3233544635,6-Nov,naturallydivine@gmail.com,,,,,34.047419,-118.209892,Los Angeles
L.A. Confidential Caregivers,7263 Melrose Ave,Los Angeles,CA,90046,3232724738,sun-thur 12-10pm  Fri/Sat 10 - 10,peter@laconfidentialcaregivers.com,,,,,34.0835315,-118.3479348,Los Angeles
Gourmet Green Room,2000 Cotner Ave,Los Angeles,CA,90025,3104733509,11a to 2a 7 days a week,,,,,,34.042124,-118.4417396,Los Angeles
Healers on Third,311 S Sweetzer Ave,Los Angeles,CA,90048,3239519612,11AM to 10PM,,,,,,34.0724348,-118.3700649,Los Angeles
San Andrews Green,432 S San Vicente Blvd,Los Angeles,CA,90048,3108550420,11am to 8pm everyday,,,,,,34.0706708,-118.3757656,Los Angeles
Gormet Green Room,2000 Cotner Ave,Los Angeles,CA,90025,3104733509,11am to 8pm,,,,,,34.042124,-118.4417396,Los Angeles
Greener Pastures Caregivers,1101 S Robertson Blvd,Los Angeles,CA,90035,3107441600,Mon- Sat 11am to 12pam Sun 12pm to 12am,,,,,,34.057042,-118.38378,Los Angeles
Farmacopeia Organica,468 S Robertson Blvd,Los Angeles,CA,90211,4243541700,"12 - 8pm tuesday - saturday, 12 - 6pm sunday, and closed monday",,,,,,34.0701867,-118.3837226,Los Angeles
Westside's Finest Collective,3995 Inglewood Blvd,Los Angeles,CA,90066,3106193350,"11a to 8p, 7 days a week",,,,,,34.001933,-118.42584,Los Angeles
RobertSon Caregivers,2515 S Robertson Blvd,Los Angeles,CA,90034,3108377279,Mon-Sat 1pm to 9pm Sun 1pm to 7pm,,,,,,34.0386911,-118.3884188,Los Angeles
HerbalCure Cooperative,11318 W Pico Blvd,Los Angeles,CA,90064,3103125215,10 am to 8pm,,,,,,34.0348399,-118.4393941,Los Angeles
Kush Collective,1111 S La Brea Ave,Los Angeles,CA,90019,3239385874,11am to 7pm,,,,,,34.0548645,-118.3439369,Los Angeles
Westside Holistic Remedy,2346 Westwood Blvd,Los Angeles,CA,90064,3104412800,,,,,,,34.041586,-118.429318,Los Angeles
Little Ethiopia Herbal Healing Center,1051 S Fairfax Ave,Los Angeles,CA,90019,3239344314,Mon. to Sat. 11a to 9p & Sun. 12p to 6p,herbalhealingcenter@gmail.com,,,,,34.0567566,-118.3646242,Los Angeles
Venezia Discount Collective,3018 W Washington Blvd,Marina del Rey,CA,90292,3108273800,10am-10pm,veneziacollective@live.com,,,,,33.9891027,-118.4504378,Los Angeles
Herbal Healing Center HHC,1051 S Fairfax Ave,Los Angeles,CA,90019,3239344314,Mon-Sat 11am to 9pm Sun 12pm to 6pm,,,,,,34.0567566,-118.3646242,Los Angeles
Shiva's Garden Collective,6110 W Pico Blvd,Los Angeles,CA,90035,3236550079,11a to 9p 7 Days a week,,,,,,34.0528376,-118.3742853,Los Angeles
Westside CC,10655 W Pico Blvd,Los Angeles,CA,90064,3104460730,Mon. to Sat: 10a to 8p & Sun: 12p to 8p,,,,,,34.042772,-118.423806,Los Angeles
Foutain oF WellBeing,3835 Fountain Ave,Los Angeles,CA,90027,3236620900,Mon-Sat 11am to 8pm Sun 11am to 5pm,,,,,,34.095994,-118.27707,Los Angeles
JJ Herbal Pharmacy (JJHP),12249 Santa Monica Blvd,Los Angeles,CA,90025,3109793816,Mon. to Sat. 11a to 8p & Sun. 12p to 7p,,,,,,34.0397738,-118.4655681,Los Angeles
Ironworks Collective,4100 Lincoln Blvd,Marina del Rey,CA,90292,3103058425,M-Sa 10-10   Su 11-6,,,,,,33.988333,-118.445318,Los Angeles
AHPS,901 S. La Brea # 3,Los Angeles,CA,90036,3239326263,11am - 12 am,absolute_herbal@yahoo.com,,Yes,,,34.068961,-118.321462,Los Angeles
Cannahelp Caregivers,5027 W Pico Blvd,Los Angeles,CA,90019,3238570204,,,,,,,34.0478135,-118.3468357,Los Angeles
C.H Remedies,8777 W Pico Blvd,Los Angeles,CA,90035,3107248124,Sun- Fri  10 - 8pm,,,Yes,,,34.054817,-118.38334,Los Angeles
Venice Beach Care Center,410 Lincoln Blvd,Venice,CA,90291,3103994307,M-Th  12-8  F-Sa 11-10  Su 11-7,,,,,,34.00079,-118.466121,Los Angeles
California Alternative Caregivers,122 Lincoln Blvd,Venice,CA,90291,8772193809,M-Sa 12-8 Sun 12-7,YourFriends@VeniceDispensary.com,http://VeniceDispensary.com,,,,34.002269,-118.469186,Los Angeles
SocalCC.com 310-210-1832  Malibu Santa Monica Venice,,Malibu,CA,90265,3102101832,11am-12am,delivery@socalcc.com,http://www.socalcc.com,,Yes,Yes,34.0050079,-118.8100893,Los Angeles
"Medical Marijuana Delivery Service Venice, Marina Del Rey, Mar Vista",,Venice,CA,90291,3109101613,10am-10pm,info@medicalmarijuanadeliveryservice.com,http://medicalmarijuanadeliveryservice.com/,,Yes,"MedPotDelivery.com - 4 Gram Eighths - Free Delivery                        
                        Yes",33.9962144,-118.4688776,Los Angeles
99 High Art Collective,1108 Abbot Kinney Blvd,Venice,CA,90291,3104508699,10am to 10pm EVERYDAY!!!,caregivers@99collective.com,,Yes,,Yes,33.9917066,-118.4702239,Los Angeles
Nile Collective Corp,1501 Pacific Ave,Venice,CA,90291,3103929900,11am - 8pm  =7 Days a Week=,,,,,,33.9883132,-118.4727422,Los Angeles
The Farmacy Venice,1509 Abbot Kinney Blvd,Venice,CA,90291,3103923890,"M-W 11-9, Th-Sat 11-10, Sun 12-7",,,,,,33.990448,-118.46434,Los Angeles
The Organic Pharmacy (TOP),11607 Washington Pl,Los Angeles,CA,90066,3109151595,Open 7 Days: 10a to 10p,,,,,,34.0047748,-118.4207228,Los Angeles
Venice Collective,12581 Venice Blvd,Los Angeles,CA,90066,3104370308,Mon. to Sat. 10a to 8p & Sun. 11a to 6p,,,,,,34.0028841,-118.4353664,Los Angeles
Venice Garden Collective,10915 Venice Blvd,Los Angeles,CA,90034,3102020095,Mon-Thurs 9am-9pm. Fri 9am-10pm. Sat 10am-10pm. Sun 10am-6pm,venicegardencollective@gmail.com,,,,,34.01578,-118.4123819,Los Angeles
Natural Remedies Services,76 Market St,Venice,CA,90291,3104504420,11am-9pm. 7 days a week.,,,,,,33.988025,-118.472852,Los Angeles
Green Cure (GC),1716 Main St,Venice,CA,90291,3103065511,11a to 8p 7 days a week,,,,,,33.987535,-118.470471,Los Angeles
"Supplemental Organic Solutions, Inc.",2501 Lincoln Blvd,Venice,CA,90291,3104509141,Open 11-7 Daily,,,,,,33.992015,-118.449462,Los Angeles
California Herbal Remedies,1337 Abbot Kinney Blvd,Venice,CA,90291,3104505077,Mon-Thur 10-8 Fri 10-9 Sat 11-9 Sun 11-7,,,,,,33.991031,-118.466641,Los Angeles
Gourmet Green Room Venice Beach,736 Lincoln Blvd,Venice,CA,90291,3105810600,365 / 10am-2am,,,Yes,Yes,,33.999561,-118.463601,Los Angeles
THC-LAX,11968 S Aviation Blvd,Lawndale,CA,90260,3105368223,11-7 Mon-Sat / Sun 12-5,,,Yes,Yes,,33.8995208,-118.3786734,Los Angeles
LAX COMPASSIONATE CAREGIVERS,203 W Manchester Blvd,Inglewood,CA,90301,3105689602,Mon-Sat 10am-8pm Sun 12-8,lax_cc@yahoo.com,,,,,33.9617787,-118.3574612,Los Angeles
Beach Enlightenment and Compassionate Healing Center,310 Culver Blvd,Playa Del Rey,CA,90293,3108214420,11am to 7pm,,,,,,33.959585,-118.447226,Los Angeles
Los Angeles Medical Caregivers,5589 W Manchester Ave,Los Angeles,CA,90045,3104109954,M-Sa 10-7,,,,,,33.960381,-118.378101,Los Angeles
SBCC,1555 W Sepulveda Blvd,Torrance,CA,90501,3105170420,Mon - Sun 11:30am - 9:00pm,johnsbcc@gmail.com,http://www.twitter.com/cannaclinic,,,,33.8158017,-118.3052843,Los Angeles
South Bay Qualified Patients' Association - 4G eighth 4 all new members FREE DELIVERY WWW.SBQPA.COM,,Lawndale,CA,90503,3107809325,9am-8pm,order@sbqpa.com,http://www.sbqpa.com,,Yes,"SBQPA - 4g eighth 4 all new members - Free Delivery                        
                        Yes",33.887237,-118.3525744,Los Angeles
NO DELIVERY CHARGE 4G 8ths $5 off for new patients 10AM-10PM,,Torrance,CA,90501,3108946337,10AM - 12AM,administrator@beachcitiesmarijuana.com,http://www.beachcitiesmarijuana.com/index.html,,,Yes,33.8291867,-118.3169714,Los Angeles
FREE DELIVERY!!  My Buddy Delivery Service,,Redondo Beach,CA,90278,3102952171,7am - 11 pm Everyday!,weedmaps@mybuddydelivers.com,http://www.mybuddydelivers.com,,,"MyBuddy Delivery Service                        
                        Yes",33.865913,-118.3754131,Los Angeles
NO DELIVERY CHARGE 4G 8ths $5 off for new patients 10AM-10PM,,Manhattan Beach,CA,90266,3108946337,10AM - 12 Midnight,administrator@beachcitiesmarijuana.com,http://www.beachcitiesmarijuana.com,,,Yes,33.8908371,-118.3987842,Los Angeles
Marijuana Delivery Hermosa Beach Manhattan Redondo Torrance PV,,Hermosa Beach,CA,90254,3102729074,9:00AM - 9:00PM,admin@marijuanamarket.com,http://MarijuanaMarket.com,,,"MarijuanaDelivery.com Marijuana Market delivery service                        
                        Yes",33.8633644,-118.395863,Los Angeles
Hawthorne Medical Marijuana Delivery by MPC,,Hawthorne,CA,90250,8884202368,9 AM till 10 PM,MPC@myprivatecollective.com,http://www.MyPrivateCollective.com,,,"My Private Collective (MPC) - Delivery                        
                        Yes",33.9127807,-118.3520389,Los Angeles
NO DELIVERY CHARGE 4Gram 8ths $5 off for new patients 10AM-10PM,,El Segundo,CA,90245,3108946337,10AM - 10PM,administrator@beachcitiesmarijuana.com,http://beachcitiesmarijuana.com,,,"Beach Cities Marijuana Dot Com Delivery                        
                        Yes",33.9150066,-118.4046264,Los Angeles
NO DELIVERY CHARGE 4G 8ths $5 off for new patients 10AM-10PM,,Hermosa Beach,CA,90254,3108946337,10AM - 10PM,administrator@beachcitiesmarijuana.com,http://beachcitiesmarijuana.com,,,Yes,33.8633644,-118.395863,Los Angeles
MarijuanaMarket.com Manhattan Beach Hermosa Redondo Torrance Hollywood Riviera Palos Verdes,,Manhattan Beach,CA,90266,3102729074,EVERYDAY 9am - 9pm,admin@marijuanamarket.com,http://marijuanamarket.com,,,Yes,33.8908371,-118.3987842,Los Angeles
MarijuanaMarket.com marijuana market delivery service Redondo Beach Hermosa Manhattan Torrance,,Redondo Beach,CA,90277,3102729074,9am - 9pm 7 days a week,admin@marijuanamarket.com,http://marijuanamarket.com,,,Yes,33.8303776,-118.3841777,Los Angeles
Delta 9,1321 W Carson St,Torrance,CA,90501,3106183582,10am to 8pm,,,,,,33.831868,-118.300405,Los Angeles
Green Cross of Torrance,1658 W Carson St,Torrance,CA,90501,3105339363,10am to 8pm,,,,,,33.8314642,-118.3072763,Los Angeles
Marijuana Medicine Evaluation Center,15901 Hawthorne Blvd,Lawndale,CA,90260,8002684420,,,,,,,33.8859829,-118.3529717,Los Angeles
Green Guild,26302 S Western Ave,Lomita,CA,90717,3105340013,11:30am - 9:00pm,info@greenguild.info,,Yes,,,33.7836021,-118.3098313,Los Angeles
Medileaf,"1321-B First St...next to ""Rock Zone"" behind Togos",Gilroy,CA,95020,4088472400,11-7pm 7 days,info@medileaf.net,,Yes,,,37.0057816,-121.5682751,Santa Clara
